epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,7726.13,0.83232,0.37782,0.82819,0.85452,0.80813,0.84044,0.36715,2.04615,0.76139,1.15055,4.77684e-05,4.77684e-05,4.77684e-05
162,7773.83,0.83015,0.37682,0.82901,0.85371,0.80759,0.84002,0.36742,2.04625,0.76109,1.15125,4.54853e-05,4.54853e-05,4.54853e-05
163,7821.82,0.82852,0.37518,0.82854,0.85391,0.80784,0.84109,0.36806,2.04771,0.76151,1.15225,4.32527e-05,4.32527e-05,4.32527e-05
164,7869.6,0.82783,0.37757,0.82582,0.85082,0.80813,0.83961,0.36705,2.04784,0.76099,1.15295,4.10711e-05,4.10711e-05,4.10711e-05
165,7917.69,0.82686,0.37598,0.82705,0.85115,0.8065,0.83946,0.36718,2.04879,0.762,1.15384,3.89411e-05,3.89411e-05,3.89411e-05
166,7965.68,0.82838,0.37372,0.82943,0.84824,0.80921,0.83954,0.36693,2.04805,0.76104,1.15408,3.68631e-05,3.68631e-05,3.68631e-05
167,8013.72,0.82631,0.37377,0.82669,0.85241,0.80449,0.83878,0.36717,2.04856,0.7615,1.15473,3.48378e-05,3.48378e-05,3.48378e-05
168,8061.57,0.82511,0.37259,0.82784,0.84931,0.8103,0.84072,0.36706,2.04832,0.76077,1.15517,3.28655e-05,3.28655e-05,3.28655e-05
169,8109.58,0.82075,0.37229,0.8274,0.84933,0.80968,0.83956,0.36677,2.05053,0.76148,1.15573,3.09468e-05,3.09468e-05,3.09468e-05
170,8157.46,0.82456,0.3737,0.82817,0.84869,0.81172,0.84042,0.36669,2.05069,0.76081,1.15641,2.90821e-05,2.90821e-05,2.90821e-05
171,8205.67,0.81972,0.37145,0.82615,0.84824,0.81247,0.84057,0.36614,2.0507,0.76145,1.15653,2.7272e-05,2.7272e-05,2.7272e-05
172,8253.39,0.82383,0.3726,0.82719,0.84706,0.8135,0.84004,0.3656,2.05139,0.76145,1.15704,2.55168e-05,2.55168e-05,2.55168e-05
173,8301.23,0.81914,0.37274,0.82775,0.84763,0.81407,0.84104,0.3663,2.05236,0.7612,1.15786,2.3817e-05,2.3817e-05,2.3817e-05
174,8349.16,0.81826,0.37199,0.82557,0.84811,0.81408,0.84139,0.36604,2.0526,0.76114,1.15838,2.21731e-05,2.21731e-05,2.21731e-05
175,8397.11,0.81767,0.37247,0.82539,0.84913,0.81084,0.84055,0.3663,2.05391,0.76157,1.15924,2.05853e-05,2.05853e-05,2.05853e-05
